,file_path,paragraph,sentence,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
164,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\4_overexpression_of_terpenoid_bi\3_fig.xml,"FIGURE 3Effects of terpenoid synthesis gene overexpression on root growth and nodule development at 10 and 20 days of rhizobia inoculation. (A) In vivo fresh root weight (gram), and root length (cm), nodule numbers, fresh nodule weight (gram), were examined (n = 10–12). Blue and red columns represent the effect of gene overexpression after 10- and 20-days after rhizobial inoculation. Data is presented as means ± SD and statistical significance is based on Student’s t-test (*P < 0.05; **P < 0.01) with GUS-overexpressing hairy roots as the control. (B) Quantitative RT-PCR for in vivo hairy roots after 10-days from B. japonicum (USDA110) infection. The error bars indicate the SD of three qRT-PCR biological replicates. (C) qRT-PCR for nodules after 10-days from infection. (D) qRT-PCR for in vivo hairy roots after 20-days from infection. (E) qRT-PCR for nodules after 20-days from infection.",(C) qRT-PCR for nodules after 10-days from infection.,infection,DISEASE,43,52,,,,
165,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\4_overexpression_of_terpenoid_bi\3_fig.xml,"FIGURE 3Effects of terpenoid synthesis gene overexpression on root growth and nodule development at 10 and 20 days of rhizobia inoculation. (A) In vivo fresh root weight (gram), and root length (cm), nodule numbers, fresh nodule weight (gram), were examined (n = 10–12). Blue and red columns represent the effect of gene overexpression after 10- and 20-days after rhizobial inoculation. Data is presented as means ± SD and statistical significance is based on Student’s t-test (*P < 0.05; **P < 0.01) with GUS-overexpressing hairy roots as the control. (B) Quantitative RT-PCR for in vivo hairy roots after 10-days from B. japonicum (USDA110) infection. The error bars indicate the SD of three qRT-PCR biological replicates. (C) qRT-PCR for nodules after 10-days from infection. (D) qRT-PCR for in vivo hairy roots after 20-days from infection. (E) qRT-PCR for nodules after 20-days from infection.",(D) qRT-PCR for in vivo hairy roots after 20-days from infection.,infection,DISEASE,55,64,,,,
166,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\4_overexpression_of_terpenoid_bi\3_fig.xml,"FIGURE 3Effects of terpenoid synthesis gene overexpression on root growth and nodule development at 10 and 20 days of rhizobia inoculation. (A) In vivo fresh root weight (gram), and root length (cm), nodule numbers, fresh nodule weight (gram), were examined (n = 10–12). Blue and red columns represent the effect of gene overexpression after 10- and 20-days after rhizobial inoculation. Data is presented as means ± SD and statistical significance is based on Student’s t-test (*P < 0.05; **P < 0.01) with GUS-overexpressing hairy roots as the control. (B) Quantitative RT-PCR for in vivo hairy roots after 10-days from B. japonicum (USDA110) infection. The error bars indicate the SD of three qRT-PCR biological replicates. (C) qRT-PCR for nodules after 10-days from infection. (D) qRT-PCR for in vivo hairy roots after 20-days from infection. (E) qRT-PCR for nodules after 20-days from infection.",(E) qRT-PCR for nodules after 20-days from infection.,infection,DISEASE,43,52,,,,
169,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\5_transgenic_soybean_hairy_roots\2_fig.xml,FIGURE 4Expression profiles of SL biosynthesis and nodulation genes in soybean transgenic hairy roots after 10 days of rhizobia inoculation. Relative gene expression was analyzed using quantitative real-time PCR compared to GUS as a control. The housekeeping GmB-ACTIN gene was used as an internal reference gene for expression normalization. The error bars indicate the SD of three qRT-PCR biological replicates.,The housekeeping GmB-ACTIN gene was used as an internal reference gene for expression normalization.,GmB-ACTIN,CHEMICAL,17,26,,,,
173,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\6_overexpressing_terpenoid_genes\2_fig.xml,FIGURE 5Expression profiles of SL biosynthesis and nodulation genes in soybean nodules after 10 days of rhizobia inoculation. Gene expression was analyzed using quantitative real-time PCR as compared to GUS as a control. The housekeeping GmB-ACTIN gene was used as an internal reference gene for expression normalization. The error bars indicate the SD of three qRT-PCR biological replicate.,The housekeeping GmB-ACTIN gene was used as an internal reference gene for expression normalization.,GmB-ACTIN,CHEMICAL,17,26,,,,
177,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\6_overexpressing_terpenoid_genes\4_fig.xml,FIGURE 6Expression profiles of SL biosynthesis and nodulation genes in soybean transgenic hairy roots after 20 days of rhizobia inoculation. Gene expression was analyzed using quantitative real-time PCR compared to GUS as a control. The housekeeping GmB-ACTIN gene was used as an internal reference gene for expression normalization. The error bars indicate the SD of three qRT-PCR biological replicates.,The housekeeping GmB-ACTIN gene was used as an internal reference gene for expression normalization.,GmB-ACTIN,CHEMICAL,17,26,,,,
181,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\6_overexpressing_terpenoid_genes\5_fig.xml,FIGURE 7Expression profiles of SL biosynthesis and nodulation genes in soybean nodules after 20 days of rhizobia inoculation. Gene expression was analyzed using quantitative real-time PCR compared to GUS as a control. The housekeeping GmB-ACTIN gene was used as an internal reference gene for expression normalization. The error bars indicate the SD of three qRT-PCR biological replicates.,The housekeeping GmB-ACTIN gene was used as an internal reference gene for expression normalization.,GmB-ACTIN,CHEMICAL,17,26,,,,
183,C:\Users\shweata\docanalysis\terpene_fig\PMC8747377\sections\4_floats-group\0_fig.xml,Figure 1Chemical structure and abbreviations of the different studied terpene derivatives.,Figure 1Chemical structure and abbreviations of the different studied terpene derivatives.,terpene,CHEMICAL,70,77,,,,
188,C:\Users\shweata\docanalysis\terpene_fig\PMC8747377\sections\4_floats-group\13_fig.xml,"Figure 14SEM micrograph of the PBS/poly(PA-LO) scaffold prepared using different cooling baths at: −74 °C (a), −20 °C (b,c). Inset shows the leafy structure of the corresponding scaffold at higher magnification.","Figure 14SEM micrograph of the PBS/poly(PA-LO) scaffold prepared using different cooling baths at: −74 °C (a), −20 °C (b,c).","−74 °C, −20 °C","CHEMICAL, CHEMICAL","99, 111","105, 117",,,,
194,C:\Users\shweata\docanalysis\terpene_fig\PMC8747377\sections\4_floats-group\1_fig.xml,"Figure 2Graphical scheme of study design. Green biobased terpene derivative polymer powder from synthesis (a). Polymeric tablet obtained by cold-pressing of polymer powder (b). Blend (poly(PA-LO)/PBS) polymeric film prepared by solvent casting using chloroform solvent (c). Oriented-pore and random-pore blend (poly(PA-LO)/PBS) scaffold fabricated by TIPS technique using 1,4 dioxane solvent and uniaxial (1) and multidirectional (2) thermal gradient, followed by solvent removal via freeze-drying (d).",Green biobased terpene derivative polymer powder from synthesis (a).,Green biobased terpene,CHEMICAL,0,22,,,,
196,C:\Users\shweata\docanalysis\terpene_fig\PMC8747377\sections\4_floats-group\1_fig.xml,"Figure 2Graphical scheme of study design. Green biobased terpene derivative polymer powder from synthesis (a). Polymeric tablet obtained by cold-pressing of polymer powder (b). Blend (poly(PA-LO)/PBS) polymeric film prepared by solvent casting using chloroform solvent (c). Oriented-pore and random-pore blend (poly(PA-LO)/PBS) scaffold fabricated by TIPS technique using 1,4 dioxane solvent and uniaxial (1) and multidirectional (2) thermal gradient, followed by solvent removal via freeze-drying (d).",Blend (poly(PA-LO)/PBS) polymeric film prepared by solvent casting using chloroform solvent (c).,poly(PA-LO)/PBS,CHEMICAL,7,22,,,,
197,C:\Users\shweata\docanalysis\terpene_fig\PMC8747377\sections\4_floats-group\1_fig.xml,"Figure 2Graphical scheme of study design. Green biobased terpene derivative polymer powder from synthesis (a). Polymeric tablet obtained by cold-pressing of polymer powder (b). Blend (poly(PA-LO)/PBS) polymeric film prepared by solvent casting using chloroform solvent (c). Oriented-pore and random-pore blend (poly(PA-LO)/PBS) scaffold fabricated by TIPS technique using 1,4 dioxane solvent and uniaxial (1) and multidirectional (2) thermal gradient, followed by solvent removal via freeze-drying (d).","Oriented-pore and random-pore blend (poly(PA-LO)/PBS) scaffold fabricated by TIPS technique using 1,4 dioxane solvent and uniaxial (1) and multidirectional (2) thermal gradient, followed by solvent removal via freeze-drying (d).","poly(PA-LO)/PBS, 1,4 dioxane solvent and uniaxial (1)","CHEMICAL, CHEMICAL","37, 98","52, 134",,,,
198,C:\Users\shweata\docanalysis\terpene_fig\PMC8747377\sections\4_floats-group\2_fig.xml,Figure 3DSC heating runs of the synthesized terpene derivatives.,Figure 3DSC heating runs of the synthesized terpene derivatives.,terpene,CHEMICAL,44,51,,,,
199,C:\Users\shweata\docanalysis\terpene_fig\PMC8747377\sections\4_floats-group\3_fig.xml,"Figure 4TGA (a) and DTGA (b) curves for the different studied terpene derivatives. Peak temperature for DTGA curves increased in the order: PLC, poly(PA-LO), poly(Myr/MA-LO), poly(CPD-LO), poly(PA-MO), poly(Myr/MA-MO), poly(Myr/MA-CHO). The same colour code has been applied for TGA curves.",Figure 4TGA (a) and DTGA (b) curves for the different studied terpene derivatives.,terpene,CHEMICAL,62,69,,,,
200,C:\Users\shweata\docanalysis\terpene_fig\PMC8747377\sections\4_floats-group\3_fig.xml,"Figure 4TGA (a) and DTGA (b) curves for the different studied terpene derivatives. Peak temperature for DTGA curves increased in the order: PLC, poly(PA-LO), poly(Myr/MA-LO), poly(CPD-LO), poly(PA-MO), poly(Myr/MA-MO), poly(Myr/MA-CHO). The same colour code has been applied for TGA curves.","Peak temperature for DTGA curves increased in the order: PLC, poly(PA-LO), poly(Myr/MA-LO), poly(CPD-LO), poly(PA-MO), poly(Myr/MA-MO), poly(Myr/MA-CHO).","poly(PA-LO, poly(Myr/MA-LO","CHEMICAL, CHEMICAL","62, 75","72, 89",,,,
202,C:\Users\shweata\docanalysis\terpene_fig\PMC8747377\sections\4_floats-group\4_fig.xml,Figure 5Spherulitic morphologies of PLC attained during slow evaporation of diluted chloroform solutions. Borders and sizes point out the crystallization of fractions with low (a) and medium (b) molecular weights.,Figure 5Spherulitic morphologies of PLC attained during slow evaporation of diluted chloroform solutions.,chloroform,CHEMICAL,84,94,,,,
204,C:\Users\shweata\docanalysis\terpene_fig\PMC8747377\sections\4_floats-group\5_fig.xml,"Figure 6(a) FTIR spectra showing the C–H stretching region for PLC and taken from three representative microdomains of the spherulite. (b) Micrograph showing a representative banded spherulite and the specific microdomains where FTIR spectra were recorded. Colors are in agreement with those of the FTIR spectra. (c) Chemical images obtained from the FTIR bands pointed out by the circle and the ellipsoid. Left and middle images correspond to the bigger spherulites, while the right image is derived from the smaller spherulites.",Figure 6(a) FTIR spectra showing the C–H stretching region for PLC and taken from three representative microdomains of the spherulite.,"6(a, H","CHEMICAL, CHEMICAL","7, 39","10, 40",,,,
209,C:\Users\shweata\docanalysis\terpene_fig\PMC8747377\sections\4_floats-group\6_fig.xml,Figure 7Bidimensional X-ray diffraction patterns of PLC as obtained from synthesis (a) and after slow evaporation of a chloroform solution (b). The corresponding linear X-ray profiles are given in (c).,Figure 7Bidimensional X-ray diffraction patterns of PLC as obtained from synthesis (a) and after slow evaporation of a chloroform solution (b).,chloroform,CHEMICAL,119,129,,,,
211,C:\Users\shweata\docanalysis\terpene_fig\PMC8747377\sections\4_floats-group\7_fig.xml,"Figure 8(a) Degradation of poly(PA-LO) as a function of time at different conditions: Hydrolytic degradation at pHs 3, 7 and 10 (curves 1–3), lipase enzymatic degradation (curve 4) and esterase enzymatic degradation (curve 5) at 37 °C, degradation in the basic pH 10 medium at 70 °C (curve 6) and degradation in oxidative media of H2O2 at 37 °C (curve 7). Weight losses were close to 0.5%, 1.5%, 2.7% and 12% for curves 1–4, curve 5, curve 6 and curve 7, respectively. (b) GPC curves taken for poly(PA-LO) during exposure to the esterase enzymatic medium.","Figure 8(a) Degradation of poly(PA-LO) as a function of time at different conditions: Hydrolytic degradation at pHs 3, 7 and 10 (curves 1–3), lipase enzymatic degradation (curve 4) and esterase enzymatic degradation (curve 5) at 37 °C, degradation in the basic pH 10 medium at 70 °C (curve 6) and degradation in oxidative media of H2O2 at 37 °C (curve 7).","poly(PA-LO, 1–3, °, H2O2","CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL","27, 136, 280, 331","37, 139, 281, 335",,,,
213,C:\Users\shweata\docanalysis\terpene_fig\PMC8747377\sections\4_floats-group\7_fig.xml,"Figure 8(a) Degradation of poly(PA-LO) as a function of time at different conditions: Hydrolytic degradation at pHs 3, 7 and 10 (curves 1–3), lipase enzymatic degradation (curve 4) and esterase enzymatic degradation (curve 5) at 37 °C, degradation in the basic pH 10 medium at 70 °C (curve 6) and degradation in oxidative media of H2O2 at 37 °C (curve 7). Weight losses were close to 0.5%, 1.5%, 2.7% and 12% for curves 1–4, curve 5, curve 6 and curve 7, respectively. (b) GPC curves taken for poly(PA-LO) during exposure to the esterase enzymatic medium.",(b) GPC curves taken for poly(PA-LO) during exposure to the esterase enzymatic medium.,poly(PA-LO,CHEMICAL,25,35,,,,
